,City,adjusted_hungry_people
0,Vancouver,3489.0
1,Surrey,1554.0
2,Victoria,565.0
3,Burnaby,498.0
4,Unknown,457.0
5,New Westminster,439.0
6,Nanaimo,272.0
7,Langley,335.0
8,North Vancouver,298.0
9,Abbotsford,233.0
10,Chilliwack,214.0
11,Coquitlam,3015.0
12,Kelowna,153.0
13,Richmond,160.0
14,Kamloops,119.0
15,Prince George,123.0
16,Port Coquitlam,126.0
17,White Rock,56.0
18,Maple Ridge,108.0
19,Courtenay,71.0
20,Vernon,64.0
21,Penticton,48.0
22,Delta,74.0
23,Mission,30.0
24,Sooke,65.0
25,Duncan,63.0
26,Esquimalt ,63.0
27,Port Alberni,35.0
28,Parksville,21.0
29,Saanich,37.0
30,Cranbrook,34.0
31,Powell River,24.0
32,Quesnel,45.0
33,Saanichton,36.0
34,Campbell River,30.0
35,Hope,36.0
36,Langford,37.0
37,Dawson Creek,36.0
38,Oliver,16.0
39,Sidney,25.0
40,Vanderhoof,26.0
41,Salmon Arm,17.0
42,Sechelt,13.0
43,Fort St John,27.0
44,Coal Harbour,27.0
45,Nelson,23.0
46,100 Mile House,23.0
47,Comox,14.0
48,West Vancouver,21.0
49,West Kelowna,14.0
50,Whitehorse,18.0
51,Williams Lake,23.0
52,Smithers,17.0
53,Port Mcneill,18.0
54,Port Moody,21.0
55,Merritt,12.0
56,Invermere,10.0
57,Kitimat,10.0
58,Lake Country,12.0
59,Coombs,14.0
60,Chemainus,22.0
61,Qualicum,17.0
62,Terrace,13.0
63,Summerland,7.0
64,Trail,6.0
65,Rutland,9.0
66,Watson Lake,9.0
67,Revelstoke,9.0
68,Masset,9.0
69,Prince Rupert,9.0
70,Salmo,6.0
71,Port Hardy,8.0
72,Port Alice,5.0
73,Pitt Meadows,8.0
74,Oak Bay,5.0
75,Okanagan Falls,9.0
76,Creston,22.0
77,Edmonton,9.0
78,Agassiz,9.0
79,Armstrong,6.0
80,Houston,8.0
81,Keremeos,4.0
82,Grand Forks,5.0
83,North Saanich,6.0
84,Logan Lake,5.0
85,Lumby,3.0
86,Mackenzie,4.0
87,Malahat,10.0
88,Marysville,5.0
89,Mill Bay,5.0
90,Montrose,3.0
91,Mount Currie,7.0
92,Granisle,2.0
93,Hazelton,3.0
94,Horsefly,5.0
95,Kitamaat Village,5.0
96,Lake Cowichan,3.0
97,Lac La Hache,5.0
98,Ladysmith,3.0
99,Laval,5.0
100,Lillooet,3.0
101,Lions Bay,3.0
102,Black Creek,5.0
103,150 Mile House,5.0
104,Burns Lake,5.0
105,Calgary,5.0
106,Cobble Hill,5.0
107,Clearwater,3.0
108,Cassidy,5.0
109,Cawston,5.0
110,Chase,2.0
111,Enderby,3.0
112,Golden,4.0
113,Fort St James,5.0
114,Crofton,5.0
115,Osoyoos,2.0
116,Peachland,2.0
117,Peers,5.0
118,Pemberton,11.0
119,Port Renfrew,5.0
120,Rock Creek,5.0
121,Rossland,4.0
122,Sicamous,2.0
123,Saltspring Island,2.0
124,Savona,5.0
125,Red Deer,5.0
126,View Royal,4.0
127,Wasa,5.0
128,Sunset Prairie,5.0
129,Squamish,5.0
130,Ymir,5.0
131,Whistler,8.0
